Student ID,First Name,Last Name,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
10000001,Liam,Johnson,1,7,2,2,1,1,1,13,10,6,10,1,0,1,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,
10000002,Olivia,Carter,1,6,7,11,1,1,1,1,3,4,4,1,0,1,0,1,0,19,0,0,6,6,8,14,0,0,6,6,6,17.01,0,13.9,-0.3,0.79,
10000003,Noah,Smith,1,1,3,5,1,1,18,12,27,35,10,1,0,0,1,1,0,19,0,0,0,0,2,0,0,0,6,0,9,17.03,0,10.8,1.4,1.74,Graduate
10000004,Emma,Thompson,1,8,2,15,1,1,9,16,27,20,39,1,0,1,0,0,0,20,0,2,8,8,6,13.428571428571429,0,0,6,10,6,16.03,0,16,1.1,-3.12,
10000005,Lucas,Anderson,2,12,1,3,0,1,9,21,22,41,13,1,0,0,0,1,1,19,0,4,6,9,1,12.333333333333334,0,0,6,8,0,18.64,0,10.9,1.8,0.79,
10000006,Ava,Mitchell,2,12,4,17,0,12,15,32,6,44,31,1,0,1,0,1,0,19,0,5,4,7,0,11.857142857142858,0,0,5,3,3,12.49,5,16,2.4,-0.92,
10000007,Ethan,Rivera,1,3,7,12,1,1,1,13,11,12,12,1,1,1,1,0,1,20,0,0,6,7,7,12.06,0,0,8,5,6,15.12,0,8.3,2.2,-4.06,
10000008,Sophia,Bennett,1,16,2,11,1,1,1,10,21,11,40,0,0,0,1,0,0,23,0,4,5,0,7,13.13,0,0,3,0,0,0,6,14.6,2.8,-4.06,
10000009,James,Hughes,1,10,8,10,1,1,15,1,28,30,10,1,1,0,0,1,1,17,1,1,6,2,8,17.92,0,3,5,2,6,14.142857142857142,8,11.6,2,-0.92,
10000010,Isabella,Ross,1,11,7,10,1,1,1,1,34,26,8,0,1,1,0,0,0,17,1,0,6,0,5,11.4,1,9,8,4,2,13.5,4,14.3,1.5,-3.36,
10000011,Benjamin,Flores,1,8,7,14,1,1,1,23,31,45,8,1,0,0,1,0,0,20,1,0,6,3,6,12.333333333333334,0,5,7,7,5,14.2,8,13.9,-0.2,3.18,
10000012,Mia,Murphy,1,13,1,12,1,1,1,13,23,42,10,1,0,0,1,0,1,18,1,0,8,0,7,12.87,0,4,10,8,7,13.214285714285714,9,12.7,0.7,0.89,
10000013,Henry,Coleman,1,12,3,16,1,1,9,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,10.45,4,6,0,0,6,0,0,12.7,0.6,3.85,
10000014,Amelia,Brooks,1,13,1,11,1,12,13,1,30,5,8,0,0,0,1,0,1,21,0,0,6,7,3,11.44,1,4,6,8,5,11,0,8.9,0.8,-4.21,
10000015,Alexander,Simmons,1,1,8,6,1,10,5,23,27,6,6,1,0,0,1,0,1,18,0,0,6,7,3,15.88,2,2,5,5,7,12,0,10.8,-0.3,-3.82,
10000016,Charlotte,Hayes,2,1,7,15,1,5,10,13,27,10,4,1,0,0,1,0,0,20,0,0,4,6,4,13.78,0,0,6,7,4,13.91,0,8.1,2.8,3.73,
10000017,Daniel,Powell,4,9,1,10,1,4,8,13,28,6,9,1,0,0,0,0,0,18,0,0,2,10,3,17.98,1,0,6,14,2,18.01,0,11.7,1.4,-1.6,
10000018,Lily,Ward,3,8,2,12,1,1,4,3,1,6,15,1,0,0,0,0,0,18,0,0,3,8,1,13.30625,0,0,8,8,8,17.83,0,13.4,2.8,3.49,
10000019,Matthew,Peterson,2,1,1,8,1,1,13,5,14,4,4,1,0,0,0,0,0,20,0,0,8,8,5,12.5,1,0,5,8,4,15.22,2,10.8,1.4,-0.14,
10000020,Zoe,Martinez,5,4,6,15,1,15,3,17,28,15,19,1,0,0,1,0,0,18,0,7,3,6,7,10.08,1,3,9,5,1,10.93,3,17.1,0.9,4.7,
